round: 2
step: 0
No movement. id: 0; pos: (51, 57); energy: 999
0: 51x57; health: 100; energy: 1000
Movement. id: 1; pos: (78, 27); energy: 998
1: 85x22; health: 100; energy: 1000
Movement. id: 2; pos: (18, 23); energy: 998
2: 11x15; health: 100; energy: 1000
Movement. id: 3; pos: (84, 75); energy: 998
3: 77x83; health: 100; energy: 1000
Movement. id: 4; pos: (70, 33); energy: 998
Health redistribution. id: 4; pos: (70,33); attack: 45, -10; defence: 45, 10; speed: 10, 0
4: 75x24; health: 100; energy: 1000
Movement. id: 5; pos: (18, 12); energy: 998
5: 17x12; health: 100; energy: 1000
No movement. id: 6; pos: (17, 57); energy: 999
6: 17x57; health: 100; energy: 1000
No movement. id: 7; pos: (72, 82); energy: 999
7: 72x82; health: 100; energy: 1000
No movement. id: 8; pos: (22, 40); energy: 999
8: 22x40; health: 100; energy: 1000
Movement. id: 9; pos: (8, 24); energy: 998
9: 4x28; health: 100; energy: 1000
Movement. id: 10; pos: (49, 36); energy: 998
10: 48x35; health: 100; energy: 1000
Movement. id: 11; pos: (61, 41); energy: 998
11: 60x41; health: 100; energy: 1000
Movement. id: 12; pos: (79, 20); energy: 998
12: 79x19; health: 100; energy: 1000
Movement. id: 13; pos: (11, 15); energy: 998
13: 10x13; health: 100; energy: 1000
No movement. id: 14; pos: (52, 75); energy: 999
14: 52x75; health: 100; energy: 1000
No movement. id: 15; pos: (37, 72); energy: 999
15: 37x72; health: 100; energy: 1000
Movement. id: 16; pos: (46, 9); energy: 998
16: 45x8; health: 100; energy: 1000
Movement. id: 17; pos: (59, 4); energy: 998
17: 58x4; health: 100; energy: 1000
Movement. id: 18; pos: (78, 35); energy: 998
18: 77x34; health: 100; energy: 1000
Movement. id: 19; pos: (70, 70); energy: 998
19: 69x70; health: 100; energy: 1000
Movement. id: 20; pos: (46, 55); energy: 998
20: 46x54; health: 100; energy: 1000
Movement. id: 21; pos: (84, 43); energy: 998
21: 83x42; health: 100; energy: 1000
No movement. id: 22; pos: (90, 40); energy: 999
22: 90x40; health: 100; energy: 1000
Movement. id: 23; pos: (82, 59); energy: 998
23: 81x58; health: 100; energy: 1000
No movement. id: 24; pos: (75, 23); energy: 999
24: 75x23; health: 100; energy: 1000
Movement. id: 25; pos: (93, 59); energy: 998
25: 92x58; health: 100; energy: 1000
Movement. id: 26; pos: (99, 6); energy: 998
26: 99x5; health: 100; energy: 1000
No movement. id: 27; pos: (87, 58); energy: 64
27: 87x58; health: 55; energy: 65
Movement. id: 28; pos: (87, 15); energy: 273
28: 89x17; health: 55; energy: 275
No movement. id: 29; pos: (87, 58); energy: 881
Attack. id: 29; pos: (87, 58); target: 27; attack: 15
Kill. id: 29; pos: (87, 58); target: 27
29: 87x58; health: 100; energy: 882
Movement. id: 30; pos: (69, 52); energy: 893
30: 68x57; health: 89; energy: 895
Movement. id: 31; pos: (92, 58); energy: 912
Attack. id: 31; pos: (92, 58); target: 25; attack: 3
Health redistribution. id: 31; pos: (92,58); attack: 31, 1; defence: 56, -1; speed: 10, 0
31: 91x61; health: 97; energy: 914
No movement. id: 32; pos: (68, 58); energy: 960
32: 68x58; health: 98; energy: 961
No movement. id: 33; pos: (26, 33); energy: 960
33: 26x33; health: 100; energy: 961
No movement. id: 34; pos: (92, 98); energy: 961
34: 92x98; health: 100; energy: 962
Movement. id: 35; pos: (16, 51); energy: 960
35: 15x51; health: 100; energy: 962
Movement. id: 36; pos: (78, 87); energy: 960
36: 77x87; health: 100; energy: 962
Movement. id: 37; pos: (20, 40); energy: 961
37: 20x39; health: 100; energy: 963
Movement. id: 38; pos: (99, 11); energy: 961
38: 99x11; health: 100; energy: 963
Movement. id: 39; pos: (29, 60); energy: 961
39: 29x59; health: 100; energy: 963
Movement. id: 40; pos: (46, 99); energy: 963
40: 46x99; health: 100; energy: 965
Movement. id: 41; pos: (58, 82); energy: 964
41: 57x82; health: 100; energy: 966
No movement. id: 42; pos: (81, 91); energy: 965
42: 81x91; health: 100; energy: 966
Movement. id: 43; pos: (95, 99); energy: 964
43: 94x99; health: 100; energy: 966
Movement. id: 44; pos: (41, 55); energy: 964
44: 40x55; health: 100; energy: 966
Movement. id: 45; pos: (71, 58); energy: 964
45: 70x58; health: 100; energy: 966
Movement. id: 46; pos: (60, 19); energy: 965
46: 59x18; health: 100; energy: 967
Movement. id: 47; pos: (81, 61); energy: 965
47: 80x61; health: 100; energy: 967
Movement. id: 48; pos: (99, 12); energy: 965
48: 99x11; health: 100; energy: 967
